uterrance_order,transcription,debater,argument,premisse,evidence,claim
0,"Minha identificação é a número 1, estou contribuindo com a pesquisa no Brasil.",DEBATER1,[],[],[],[]
1,"Minha identificação é o número 2, estou contribuindo com a pesquisa no Brasil.",DEBATER2,[],[],[],[]
2,"Minha identificação é o número 3, estou contribuindo com a pesquisa no Brasil.",DEBATER3,[],[],[],[]
3,Minha identificação número 4. Estou contribuindo com a pesquisa no Brasil.,DEBATER4,[],[],[],[]
4,Minha identificação é o número 5. Estou contribuindo com a pesquisa no Brasil.,DEBATER5,[],[],[],[]
5,"Certo. Explicando as regras do debate. Antes de começarmos o debate, é essencial que todos compreendam e sigam as regras do debate. Essas regras foram criadas para garantir um debate justo e ordenado para todos os envolvidos, sem interrupções. Os debatedores não devem interromper uns aos outros enquanto estiver falando. Se você deseja contribuir para uma discussão, oferecer um contra-argumento, por favor, levante a mão, e aguarde o moderador, eu, lhe conceder a palavra. Uma vez que eu, que tenha sido autorizada a falar, você terá a palavra e poderá expressar seus pensamentos ou responder aos outros. Vamos seguir um formato estrutural de 3 momentos distintos, cada um com seu propósito e regras específicas. No momento um, a expressão inicial de opiniões. Num primeiro momento, abordaremos a questão principal do debate e o objetivo é que cada participante expresse sua opinião inicial sobre o tema central. No momento 2 é uma rodada de perguntas, teremos uma rodada de perguntas direcionadas para cada um dos debatedores, abriremos espaço para os outros participantes contra argumentarem ou expressar suas opiniões sobre a resposta dada. Após a pergunta direcionada, teremos uma última pergunta que será direcionada a todos os participantes. Neste momento, você tem a liberdade de escolher se desejam responder caso sintam que tem algo relevante a acrescentar. E o terceiro momento colocações finais. Terceiro momento, será perguntado se os participantes tinham alguma outra colocação final sobre o tema. Certo, todo mundo acompanhou? Alguma dúvida? Não? Certo, a gente vai começar pelo primeiro momento, que é a expressão inicia, e aí, a partir daí, eu vou pro momento que vai ser a rodada das perguntas. E terceiro, uma, meio que uma, o momento inicial, vocês vão dar a opinião de vocês depois de passar pelo debate, etc, certo? Ahm, vamos começar pela debatedora 1. Gostaria que você desse sua opinião geral sobre o tema. O tema é inteligência artificial generativa, e seus impactos na sociedade. Vamos começar pela debatedora 1.",MODERATOR,[],[],[],[]
6,"É... Eu acho que utilizar esse tipo de ferramenta, como o ChatGPT, tem tanto suas parte boas quanto suas partes ruins, como tudo, né? E... Voltando para os tópicos lá do texto base, na questão da educação, eu acho que é uma ferramenta muito boa para você aprender usar ele como instrumento para te guiar, mas não para fazer as coisas por você. E já na parte profissional, eu acredito que, principalmente quando se trata de, da área artística, de criatividade... eu acho que... não é tão legal utilizar, é... essas ferramentas, pois a... eu acho que tira a oportunidade de uma pessoa que já se formou na área, que estudou para isso, que poderia ter utilizado a mão de obra dela.",DEBATER1,"[('argument_1', -1, 62), ('argument_2', 63, 122)]","[('premisse_1', 0, 24), ('premisse_2', 92, 122)]","[('evidence_example_1', 71, 81)]","[('claim_1', 24, 63), ('claim_2', 81, 92)]"
7,Agora o debatedor 2.,MODERATOR,[],[],[],[]
8,"Eu acho que essas ferramentas elas deveriam ser utilizadas de forma mais racional, indo mais do consciente de cada um. É, o ChatGPT, por exemplo, muitos de nós estudantes usamos como, tirar alguma, dúvida ou ou algo do tipo, mas vai da nossa consciência colocar ele para fazer algo que nós deveríamos fazer, ou então apenas tirar uma dúvida, um questionamento em algo que não sabe como resolver e pedir a ajuda. Então é uma ferramenta que seja útil. É... porque se você ficar usando essas ferramentas como... pra fazer tudo da sua vida, por exemplo, meio acadêmico, é meio que uma forma de auto sabotagem, porque você não vai estar aprendendo. E no mercado de trabalho, acho que para os meios mais exatos, que trabalham com cálculos ou coisas parecidas, é uma ferramenta que pode ser muito utilizada. E mais, como a debatedora número 1 falou, em relação ao ao meio artístico, eu acho que precisa da do toque pessoal ali da, do, do lado artístico, do ser humano.",DEBATER2,"[('argument_1', 19, 111), ('argument_2', 111, 169)]","[('premisse_1', 0, 20), ('premisse_2', 39, 53)]","[('evidence_example_1', 20, 72), ('evidence_example_2', 94, 98), ('evidence_example_3', 117, 131), ('evidence_deb_cite_1', 139, 170)]","[('claim_1', 72, 79), ('claim_2', 112, 139)]"
9,Debatedor 3.,MODERATOR,[],[],[],[]
10,"Eu acho que é uma ferramenta boa para o uso no dia a dia, por causa que, às vezes, ao pesquisar na internet, não se tem uma guia muito boa ou direcionamento muito bom, enquanto que se você pesquisa numa inteligência artificial, tem uma certa interpretação do que você quis pesquisar, e muitas vezes pode até direcionar melhor do que uma pesquisa generalizada, que pode acabar deixando você em dúvida. E... apesar de ser bom uso no dia a dia, também é certo que a pessoa tenha consciência de aprender a se virar sem isso, para não se tornar dependente.",DEBATER3,[],"[('premisse_1', 0, 14), ('premisse_2', 17, 34)]",[],"[('claim_2', 70, 100), ('claim_1', 34, 70)]"
11,Debatedor 4.,MODERATOR,[],[],[],[]
