utterance,source_component,relation_type,target_component
10,claim_1,support,evidence_example_1
12,claim_1,support,premisse_1
18,evidence_deb_cite_1,support,claim_3
19,evidence_deb_cite_1,support,premisse_1
19,counter_claim_1,attack,argument_1
16,evidence_deb_cite_1,support,claim_1
21,evidence_deb_cite_1,support,evidence_example_1
22,evidence_deb_cite_1,support,evidence_deb_cite_1
24,claim_1,attack,evidence_deb_cite_1
28,evidence_deb_cite_1,attack,evidence_example_2
30,evidence_expert_1,attack,evidence_example_1
32,claim_1,support,premise_1
34,evidence_deb_cite_1,support,claim_1
34,evidence_deb_cite_1,support,premise_1
36,evidence_deb_cite_1,support,claim_1
36,evidence_example_1,support,evidence_example_1
36,premisse_1,support,evidence_example_1
38,evidence_expert_1,support,evidence_example_2
40,premisse_1,support,claim_1
41,premisse_1,support,claim_1
41,evidence_example_1,support,claim_1
41,premisse_2,support,claim_2
41,evidence_example_2,support,claim_2
41,evidence_example_3,support,claim_2
43,premisse_1,support,claim_1
43,evidence_example_1,support,claim_2
45,premisse_1,support,claim_1
45,evidence_example_1,support,claim_1
45,evidence_hist_1,support,claim_2
45,premisse_2,support,claim_2
45,evidence_example_2,support,claim_3
47,premisse_1,support,claim_1
47,evidence_example_1,support,claim_1
49,premisse_1,support,claim_1
49,evidence_example_1,support,claim_1
49,premisse_2,support,claim_2
49,premisse_2,support,claim_3
51,premisse_1,support,claim_1
51,evidence_example_1,support,claim_1
51,evidence_example_2,support,claim_1
55,premisse_1,support,claim_1
55,evidence_example_1,support,claim_1
55,evidence_deb_cit_1,support,claim_2
55,premisse_2,support,claim_3
55,evidence_example_2,support,claim_3
55,premisse_3,support,claim_1
55,evidence_deb_cit_2,support,claim_1
55,evidence_example_3,support,claim_1
55,premisse_1,support,claim_2
55,evidence_example_1,support,claim_2
55,evid_hist_1,support,claim_3
57,evidence_example_1,support,claim_1
57,premisse_1,support,claim_1
57,evidence_deb_cit_1,support,claim_2
59,premisse_1,support,claim_1
59,evidence_deb_cit_1,support,claim_2
59,evidence_example_1,support,claim_3
61,premisse_1,support,claim_1
61,evidence_example_1,support,claim_1
63,evidence_hist_1,support,claim_1
63,evidence_example_1,support,claim_1
69,evidence_example_1,support,claim_1
