utterance,source_component,relation_type,target_component
8,claim_1,support,claim_1
8,evidence_deb_cite_1,support,evidence_example_1
14,evidence_deb_cite_1,support,premise_1
14,claim_2,attack,evidence_example_1
16,claim_1,attack,counter_claim_1
18,argument_1,attack,claim_2
18,claim_1,attack,claim_2
19,evidence_expert_1,attack,claim_2
19,evidence_expert_1,support,claim_1
20,evidence_deb_cite_1,support,premise_1
20,claim_1,support,claim_2
31,claim_1,attack,claim_1
32,premise_1,support,claim_3
32,claim_1,support,premise_1
37,claim_1,attack,claim_1
38,claim_1,support,claim_1
38,claim_1,attack,claim_2
39,premise_1,support,premise_1
41,claim_1,support,premise_1
42,evidence_deb_cite_1,support,premise_1
44,premise_1,support,premise_2
44,premise_1,support,claim_3
45,premise_1,support,premise_1
45,claim_3,support,evidence_deb_cite_1
