utterance,source_component,relation_type,target_component
1,premisse_1,support,claim_1
5,premisse_1,support,claim_1
5,premisse_1,support,clam_2
5,evidence_1,support,claim_2
5,evidence_1,support,claim_3
7,evidence_1,support,claim_1
7,evidence_1,support,claim_2
7,evidence_2,support,claim_2
7,evidence_2,support,claim_3
9,evidence_1,support,claim_1
9,evidence_1,support,claim_2
11,premisse_1,support,claim_1
11,evidence_1,support,claim_1
11,premisse_2,support,claim_1
16,premisse_1,support,claim_1
17,premisse_1,support,claim_1
17,premisse_2,support,claim_1
17,evidence_1,support,claim_1
18,premisse_1,support,claim_1
18,evidence_1,support,claim_1
20,premisse_1,support,claim_1
21,evidence_1,support,claim_1
22,premisse_1,support,claim_1
22,evidence_1,support,claim_1
24,evidence_1,support,claim_1
24,evidence_2,support,claim_1
25,premisse_1,support,claim_1
25,premisse_1,support,claim_2
34,premisse_1,support,claim_1
34,premisse_1,support,claim_2
36,evidence_1,support,claim_1
37,premisse_1,support,claim_1
37,premisse_1,support,claim_2
39,premisse_1,support,claim_1
40,premisse_1,support,claim_1
41,premisse_1,support,claim_1
42,premisse_1,support,claim_1
43,premisse_1,support,claim_1
43,premisse_2,support,claim_1
44,evidence_1,support,claim_1
44,premisse_1,support,claim_1
44,evidence_2,support,claim_1
48,premisse_1,support,claim_1
53,premisse_1,support,claim_1
57,premisse_1,support,claim_1
59,premisse_1,support,claim_1
