utterance,source_component,relation_type,target_component
10,evidence_deb_cite_1,support,premise_1
10,claim_1,,premise_1
12,claim_1,support,premise_1
12,premise_1,support,claim_1
16,premise_2,support,premise_1
16,claim_1,support,premise_1
18,evidence_deb_cite_1,support,premise_1
22,premise_1,attack,claim_2
24,evidence_deb_cite_1,support,premise_1
24,claim_1,support,claim_1
26,evidence_deb_cite_1,support,premise_1
26,evidence_deb_cite_1,support,evidence_expert_1
30,evidence_deb_cite_1,support,claim_1
32,claim_1,attack,claim_1
40,claim_1,support,claim_1
44,claim_1,support,claim_1
46,claim_2,support,claim_2
