utterance,source_component,relation_type,target_component
1,premisse_1,support,claim_1
6,premisse_1 ,support,claim_1
6,evidence_1,support,claim_1
8,premisse_1,suport,claim_1
8,evidence_1,support,claim_2
8,premisse_2,support,claim_2
10,premisse_1,support,claim_1
10,evidence_1,support,claim_1
10,evidence_2,support,claim_2
12,evidence_1,support,claim_1
12,premisse_1,support,claim_1
12,evidence_2,support,claim_1
14,premisse_1,support,claim_1
16,premisse_1,support,claim_1
16,evidence_1,support,claim_1
20,evidence_1,support,claim_1
21,premisse_1,support,claim_1
21,evidence_1,support,claim_1
22,premisse_1,support,claim_1
22,evidence_1,support,claim_1
27,evidence_1,support,claim_1
28,premisse_1,support,claim_1
28,evidence_1,support,claim_2
29,premisse_1,suport,claim_1
29,premisse_2,support,claim_2
31,premisse_1,support,claim_1
31,evidence_1,support,claim_1
31,premisse_2,support,claim_2
31,evidence_2,support,claim_2
33,premisse_1,support,claim_1
33,evidence_1,support,claim_1
35,premisse_1,support,claim_1
36,evidence_1,support,claim_1
36,premisse_1,support,claim_2
36,evidence_2,support,claim_3
37,evidence_1,support,claim_1
37,premisse_2,support,claim_2
37,evidence_2,support,claim_3
39,premisse_1,support,claim_1
39,evidence_1,support,claim_1
41,premisse_1,support,claim_1
44,evidence_1,support,claim_1
46,premisse_1,support,claim_1
46,evidence_1,support,claim_2
48,evidence_1,support,claim_1
48,evidence_1,support,claim_2
50,premisse_1,support,claim_1
50,evidence_1,support,claim_1
50,evidence_1,support,claim_2
53,evidence_1,support,claim_1
53,evidence_2,support,claim_2
55,premisse_1,support,claim_1
55,premisse_1,support,claim_2
57,evidence_1,support,claim_1
59,premisse_1,support,claim_1
61,premisse_1,support,claim_1
61,premisse_2,support,claim_2
62,premisse_1,support,claim_1
62,premisse_2,support,claim_2
62,evidence_1,support,claim_3
62,premisse_3,support,claim_3
64,premisse_1,support,claim_1
