utterance,source_component,relation_type,target_component
6,premise_2,support,premise_1
6,premise_2,support,evidence_expert_1
8,premise_1,support,claim_1
10,evidence_deb_cite_1,support,premise_1
10,evidence_example_1,support,evidence_expert_1
14,evidence_deb_cite1,support,premise_1
14,claim_1,support,premise_1
16,evidence_deb_cite_1,support,claim_1
18,claim_1,support,premise_1
18,claim_1,support,evidence_example_1
24,evidence_deb_cite_1,support,evidence_example_1
34,premise_1,attack,claim_2
34,claim_2,support,claim_2
38,claim_1,attack,claim_3
40,premise_1,support,claim_3
40,counter_claim_1,support,claim_1
44,claim_1,attack,claim_1
44,premise_1,attack,claim_1
46,claim_1,support,claim_3
46,premise_1,support,claim_1
48,claim_1,support,claim_1
48,evidence_deb_cite_1,support,claim_3
48,claim_2,support,claim_1
48,claim_3,support,premise_1
48,premise_1,support,claim_3
52,claim_1,support,claim_2
56,claim_1,support,claim_1
65,claim_1,support,premise_1
67,claim_2,support,claim_2
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
49,,,
50,,,
51,,,
