utterance,source_component,relation_type,target_component
1,premisse_1,support,claim_1
7,premisse_1,support,claim_1
7,evidence_1,support,claim_2
7,evidence_2,support,claim_3
9,evidence_1,support,claim_1
9,premisse_1,support,claim_1
9,evidence_1,support,claim_2
9,premisse_1,support,claim_1
9,premisse_2,support,claim_2
9,evidence_1,support,claim_2
11,premisse_1,support,claim_1
11,evidence_1,support,claim_1
13,premisse_1,support,claim_1
13,premisse_2,support,claim_2
13,evidence_1,support,claim_2
13,premisse_3,support,claim_2
15,evidence_1,support,claim_1
15,evidence_1 (cit),support,claim_1
15,premisse_1,support,claim_2
15,evidence_2,support,claim_2
15,evidence_3,support,claim_2
15,premisse_2,support,claim_3
15,evidence_4,support,claim_3
17,premisse_1,support,claim_1
17,evidence_1,support,claim_1
19,evidence_1,support,claim_1
19,evidence_2,support,claim_2
19,premisse_2,support,claim_3
19,evidence_3,support,claim_3
21,premisse_1,support,claim_1
23,premisse_1,support,claim_1
23,evidence_1,support,claim_1
23,premisse_2,support,claim_2
23,evidence_2,support,claim_2
24,evidence_1,support,claim_1
24,evidence_2,support,claim_2
24,premisse_2,support,claim_2
26,premisse_1,support,claim_1
26,evidence_1,support,claim_1
26,premisse_2,support,claim_1
27,evidence_1,support,claim_1
27,premisse_1,support,claim_2
27,evidence_2,support,claim_3
30,premisse_1,support,claim_1
30,evidence_1,support,claim_1
30,premisse_2,support,claim_2
30,evidence_2,support,claim_2
30,evidence_3,support,claim_2
30,premisse_1,support,claim_1
30,evidence_1,support,claim_1
30,evidence_2,support,claim_1
32,premisse_1,support,claim_1
32,evidence_1,support,claim_1
32,evidence_2,support,claim_1
32,premisse_2,support,claim_1
32,evidence_1 (hist),support,claim_2
34,premisse_1,support,claim_1
34,evidence_1,support,claim_1
34,premisse_2,support,claim_2
36,premisse_1,support,claim_1
36,evidence_1,support,claim_1
36,premisse_2,support,claim_1
36,evidence_2,support,claim_1
36,evidence_1 (hist),support,claim_1
36,premisse_3,support,claim_1
36,evidence_3,support,claim_1
38,premisse_1,support,claim_1
38,evidence_1,support,claim_1
38,evidence_1,support,claim_2
38,premisse_1,support,claim_2
38,premisse_2,support,claim_3
38,evidence_2,support,claim_3
40,premisse_1,support,claim_1
40,evidence_1,support,claim_1
40,premisse_2,support,claim_1
42,premisse_1,support,claim_1
42,evidence_1,support,claim_2
46,evidence_1,support,claim_1
46,premisse_1,support,claim_1
46,premisse_2,support,claim_2
48,premisse_1,support,claim_1
50,premisse_1,support,claim_1
