utterance,source_debater,source_utterance,relation_type,target_utterance,target_debater
1,,1,questioning,2,
2,,7,agree,6,
3,,20,disagre,15,
6,moderator,6,questioning,7,debater_1
7,moderator,8,questioning,9,debater_2
8,debater_2,9,agree,7,debater_1
9,debater_3,11,agree,7,debater_1
10,moderator,14,questioning,15,debater_1
11,moderator,16,questioning,17,debater_4
12,debater_4,16,agree,15,debater_1
13,moderator,18,questioning,19,debater_2
14,moderator,20,questioning,21,debater_3
15,moderator,22,questioning,23,debater_1
16,debater_2,24,disagree,23,debater_1
17,debater_1,27,agree,26,debater_4
18,debater_1,27,disagree,26,debater_4
19,debater_2,30,disagree,27,debater_1
20,debater_1,32,disagree,30,debater_2
21,moderator,33,questioning,34,debater_4
22,debater_4,34,agree,30,debater_2
23,debater_4,34,agree,30,debater_1
24,moderator,35,questioning,36,debater_2
25,debater_1,38,agree,35,debater_2
26,debater_1,38,disagree,35,debater_2
26,debater_2,48,disagree,35,debater_1
