utterance,source_debater,source_utterance,relation_type,target_utterance,target_debater
1,,1,questioning,2,
2,,7,agree,6,
3,,20,disagre,15,
5,moderator,5,questioning,6,debater_1
6,moderator,13,questioning,14,debater_1
7,moderator,17,questioning,18,debater_4
8,debater_1,22,agree,21,debater_3
9,moderator,30,questioning,31,debater_2
10,debater_4,33,disagre,31,debater_2
11,moderator,34,questioning,35,debater_2
12,debater_2,35,agree,33,debater_4
13,moderator,38,questioning,39,debater_3
14,debater_4,41,agree,39,debater_3
15,moderator,42,questioning,43,debater_4
16,moderator,45,questioning,46,debater_4
17,debater_3,62,agree,61,debater_2
18,debater_4,64,agree,62,debater_3
